Strain,B1_req,B2_req,B3_req,B5_req,B6_req,B9_req,B12_req,Kx_req,B1_syn,B2_syn,B3_syn,B5_syn,B6_syn,B9_syn,B12_syn,Kx_syn,Cluster
Morganella_morganii_subsp_morganii_KT,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,None
Mycobacterium_avium_subsp_avium_ATCC_25291,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
Mycobacterium_fortuitum_subsp_fortuitum_DSM_46621,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Mycoplasma_hominis_ATCC_23114,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Mycoplasma_pneumoniae_309,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Neisseria_cinerea_ATCC_14685,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,None
Neisseria_elongata_subsp_glycolytica_ATCC_29315,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Neisseria_flavescens_SK114,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Neisseria_macacae_ATCC_33926,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,None
Neisseria_mucosa_ATCC_25996,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Neisseria_subflava_NJ9703,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Nevskia_ramosa_DSM_11499,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,None
Oceanobacillus_picturae_strain_S1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,None
Ochrobactrum_anthropi_ATCC_49188,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Ochrobactrum_intermedium_LMG_3301,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Odoribacter_laneus_YIT_12061,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Odoribacter_splanchnicus_1651_6_DSM_20712,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,()
